target_id,history_mode,stage,model,n_months,mae,rmse,direction,large_move_mae,market_skill_pct,event_skill_pct,market_p,event_p,event_moved_months,event_beneficial_rate,event_harmful_rate
IRON_ORE,MAXIMUM,W0,M1,50,5.459389,7.11122,0.48,13.44888,,,,,,,
IRON_ORE,MAXIMUM,W0,M2,50,5.449327,7.107788,0.52,13.435019,,,,,,,
IRON_ORE,MAXIMUM,W1,M0,50,4.58127,6.486896,0.62,12.716993,,,,,,,
IRON_ORE,MAXIMUM,W1,M1,50,5.459389,7.11122,0.48,13.44888,,,,,,,
IRON_ORE,MAXIMUM,W1,M2,50,5.449327,7.107788,0.52,13.435019,,,,,,,
IRON_ORE,MAXIMUM,W2,M0,50,3.903173,5.840868,0.76,10.466181,,,,,,,
IRON_ORE,MAXIMUM,W2,M1,50,4.002372,5.74887,0.7,10.09881,,,,,,,
IRON_ORE,MAXIMUM,W2,M2,50,3.9949,5.767145,0.72,10.140286,,,,,,,
IRON_ORE,MAXIMUM,W3,M0,50,3.699637,5.759258,0.74,10.466181,,,,,,,
IRON_ORE,MAXIMUM,W3,M1,50,3.603265,5.536455,0.72,10.09881,,,,,,,
IRON_ORE,MAXIMUM,W3,M2,50,3.592286,5.556112,0.72,10.140286,,,,,,,
IRON_ORE,MAXIMUM,W4,M0,50,3.592253,5.691004,0.74,10.466181,,,,,,,
IRON_ORE,MAXIMUM,W4,M1,50,3.496734,5.466284,0.72,10.09881,,,,,,,
IRON_ORE,MAXIMUM,W4,M2,50,3.481586,5.4813,0.72,10.140286,,,,,,,
IRON_ORE,MAXIMUM,W0,SKILL,50,,,,,-19.1676,0.1843,0.06555,0.6388,33,0.5455,0.4545
IRON_ORE,MAXIMUM,W1,SKILL,50,,,,,-19.1676,0.1843,0.06555,0.6388,33,0.5455,0.4545
IRON_ORE,MAXIMUM,W2,SKILL,50,,,,,-2.5415,0.1867,0.5204,0.71595,33,0.5152,0.4848
IRON_ORE,MAXIMUM,W3,SKILL,50,,,,,2.6049,0.3047,0.12295,0.66475,35,0.5143,0.4857
IRON_ORE,MAXIMUM,W4,SKILL,50,,,,,2.659,0.4332,0.1285,0.54275,35,0.5143,0.4857
CRUDE_OIL,MATCHED,W0,M0,50,22.343246,29.236323,0.52,48.800844,,,,,,,
CRUDE_OIL,MATCHED,W0,M1,50,22.331614,29.386013,0.54,48.885487,,,,,,,
CRUDE_OIL,MATCHED,W0,M2,50,22.331614,29.386013,0.54,48.885487,,,,,,,
CRUDE_OIL,MATCHED,W1,M0,50,22.343246,29.236323,0.52,48.800844,,,,,,,
CRUDE_OIL,MATCHED,W1,M1,50,22.331614,29.386013,0.54,48.885487,,,,,,,
CRUDE_OIL,MATCHED,W1,M2,50,22.331614,29.386013,0.54,48.885487,,,,,,,
CRUDE_OIL,MATCHED,W2,M0,50,19.502442,23.976204,0.74,32.817174,,,,,,,
CRUDE_OIL,MATCHED,W2,M1,50,19.542663,24.042286,0.74,32.887245,,,,,,,
CRUDE_OIL,MATCHED,W2,M2,50,19.542663,24.042286,0.74,32.887245,,,,,,,
CRUDE_OIL,MATCHED,W3,M0,50,17.834728,21.417949,0.74,24.629304,,,,,,,
CRUDE_OIL,MATCHED,W3,M1,50,17.849808,21.425507,0.74,24.62445,,,,,,,
CRUDE_OIL,MATCHED,W3,M2,50,17.849808,21.425507,0.74,24.62445,,,,,,,
CRUDE_OIL,MATCHED,W4,M0,50,17.78789,21.367032,0.74,24.629304,,,,,,,
CRUDE_OIL,MATCHED,W4,M1,50,17.81052,21.383103,0.74,24.62445,,,,,,,
CRUDE_OIL,MATCHED,W4,M2,50,17.81052,21.383103,0.74,24.62445,,,,,,,
CRUDE_OIL,MATCHED,W0,SKILL,50,,,,,0.0521,0.0,0.9853,1.0,0,,
CRUDE_OIL,MATCHED,W1,SKILL,50,,,,,0.0521,0.0,0.9853,1.0,0,,
CRUDE_OIL,MATCHED,W2,SKILL,50,,,,,-0.2062,0.0,0.40625,1.0,0,,
CRUDE_OIL,MATCHED,W3,SKILL,50,,,,,-0.0845,0.0,0.4799,1.0,0,,
CRUDE_OIL,MATCHED,W4,SKILL,50,,,,,-0.1272,0.0,0.16905,1.0,0,,
CRUDE_OIL,MAXIMUM,W0,M0,50,22.308616,29.015671,0.5,48.433651,,,,,,,
CRUDE_OIL,MAXIMUM,W0,M1,50,21.593477,28.399389,0.52,48.548569,,,,,,,
CRUDE_OIL,MAXIMUM,W0,M2,50,21.593477,28.399389,0.52,48.548569,,,,,,,
CRUDE_OIL,MAXIMUM,W1,M0,50,22.308616,29.015671,0.5,48.433651,,,,,,,
CRUDE_OIL,MAXIMUM,W1,M1,50,21.593477,28.399389,0.52,48.548569,,,,,,,
CRUDE_OIL,MAXIMUM,W1,M2,50,21.593477,28.399389,0.52,48.548569,,,,,,,
CRUDE_OIL,MAXIMUM,W2,M0,50,19.867452,24.294025,0.76,33.026463,,,,,,,
CRUDE_OIL,MAXIMUM,W2,M1,50,19.767416,24.28564,0.74,33.124994,,,,,,,
CRUDE_OIL,MAXIMUM,W2,M2,50,19.767416,24.28564,0.74,33.124994,,,,,,,
CRUDE_OIL,MAXIMUM,W3,M0,50,18.297664,21.841771,0.74,24.751822,,,,,,,
CRUDE_OIL,MAXIMUM,W3,M1,50,18.242063,21.774764,0.72,24.748764,,,,,,,
CRUDE_OIL,MAXIMUM,W3,M2,50,18.242063,21.774764,0.72,24.748764,,,,,,,
CRUDE_OIL,MAXIMUM,W4,M0,50,18.24442,21.779622,0.74,24.751822,,,,,,,
CRUDE_OIL,MAXIMUM,W4,M1,50,18.190506,21.714665,0.72,24.748764,,,,,,,
CRUDE_OIL,MAXIMUM,W4,M2,50,18.190506,21.714665,0.72,24.748764,,,,,,,
CRUDE_OIL,MAXIMUM,W0,SKILL,50,,,,,3.2057,0.0,0.6188,1.0,0,,
CRUDE_OIL,MAXIMUM,W1,SKILL,50,,,,,3.2057,0.0,0.6188,1.0,0,,
CRUDE_OIL,MAXIMUM,W2,SKILL,50,,,,,0.5035,0.0,0.42245,1.0,0,,
CRUDE_OIL,MAXIMUM,W3,SKILL,50,,,,,0.3039,0.0,0.59885,1.0,0,,
CRUDE_OIL,MAXIMUM,W4,SKILL,50,,,,,0.2955,0.0,0.6047,1.0,0,,
