target_id,model,n_origins,mae,rmse,smape,directional_accuracy,status
WPU1012,N0,50,50.31882,69.396581,8.05293,0.0,OFFICIAL_PREREGISTERED
WPU1012,M0,50,49.189718,76.199841,8.092307,0.54,OFFICIAL_PREREGISTERED
WPU1012,M1,50,50.748848,80.774459,8.276535,0.6,OFFICIAL_PREREGISTERED
WPU101211,N0,50,47.85844,64.47041,8.35265,0.0,OFFICIAL_PREREGISTERED
WPU101211,M0,50,45.946165,69.407565,8.25761,0.5,OFFICIAL_PREREGISTERED
WPU101211,M1,50,47.765633,71.912823,8.478048,0.56,OFFICIAL_PREREGISTERED
WPU1012,M2_DEMO,50,62.055921,90.990106,10.433421,0.48,EXPLORATORY_DEMO
