target_month,origin_date,W0,W1,W2,W3,W4,adj_W0,adj_W1,adj_W2,adj_W3,adj_W4,y_true,cumulative_event_adjustment,nontrivial
2021-12,2021-11-30,682.23545,682.23545,682.23545,682.23545,682.23545,0.0,0.0,0.0,0.0,0.0,739.064,0.0,0
2022-01,2021-12-31,743.214207,743.214207,743.214207,743.214207,743.214207,0.0,0.0,0.0,0.0,0.0,689.363,0.0,0
2022-02,2022-01-31,726.528271,726.528271,726.528271,726.528271,726.528271,0.0,0.0,0.0,0.0,0.0,687.35,0.0,0
2022-03,2022-02-28,641.4112,641.4112,641.4112,641.4112,641.4112,0.0,0.0,0.0,0.0,0.0,858.642,0.0,0
2022-04,2022-03-31,565.892883,565.892883,565.892883,565.892883,565.892883,0.0,0.0,0.0,0.0,0.0,859.242,0.0,0
2022-05,2022-04-30,682.921523,682.921523,682.921523,682.921523,682.921523,0.0,0.0,0.0,0.0,0.0,756.577,0.0,0
2022-06,2022-05-31,737.401983,737.401983,737.401983,737.401983,737.401983,0.0,0.0,0.0,0.0,0.0,679.742,0.0,0
2022-07,2022-06-30,777.478019,777.478019,777.478019,777.478019,777.478019,0.0,0.0,0.0,0.0,0.0,593.864,0.0,0
2022-08,2022-07-31,684.395923,684.395923,684.395923,684.395923,684.395923,0.0,0.0,0.0,0.0,0.0,546.383,0.0,0
2022-09,2022-08-31,558.754771,558.754771,558.754771,558.754771,558.754771,0.0,0.0,0.0,0.0,0.0,527.719,0.0,0
2022-10,2022-09-30,497.312736,497.312736,497.312736,497.312736,497.312736,0.0,0.0,0.0,0.0,0.0,510.006,0.0,0
2022-11,2022-10-31,447.5394,447.5394,447.5394,447.5394,447.5394,0.0,0.0,0.0,0.0,0.0,493.08,0.0,0
2022-12,2022-11-30,440.335971,440.335971,440.335971,440.335971,440.335971,0.0,0.0,0.0,0.0,0.0,517.66,0.0,0
2023-01,2022-12-31,456.347031,456.347031,456.347031,456.347031,456.347031,0.0,0.0,0.0,0.0,0.0,570.52,0.0,0
2023-02,2023-01-31,507.978878,507.978878,507.978878,507.978878,507.978878,0.0,0.0,0.0,0.0,0.0,606.166,0.0,0
2023-03,2023-02-28,539.396393,539.396393,539.396393,539.396393,539.396393,0.0,0.0,0.0,0.0,0.0,664.4,0.0,0
2023-04,2023-03-31,568.11194,568.11194,568.11194,568.11194,568.11194,0.0,0.0,0.0,0.0,0.0,651.118,0.0,0
2023-05,2023-04-30,608.579618,608.579618,608.579618,608.579618,608.579618,0.0,0.0,0.0,0.0,0.0,617.717,0.0,0
2023-06,2023-05-31,606.750695,606.750695,606.750695,606.750695,606.750695,0.0,0.0,0.0,0.0,0.0,557.441,0.0,0
2023-07,2023-06-30,590.123079,590.123079,590.123079,590.123079,590.123079,0.0,0.0,0.0,0.0,0.0,539.555,0.0,0
2023-08,2023-07-31,522.330714,522.330714,522.330714,522.330714,522.330714,0.0,0.0,0.0,0.0,0.0,543.896,0.0,0
2023-09,2023-08-31,507.633369,507.633369,507.633369,507.633369,507.633369,0.0,0.0,0.0,0.0,0.0,547.501,0.0,0
