target_id,history_mode,model,n_months,mae_W0,mae_W4,w0_to_w4_mae_change,event_incremental_skill_pct,mean_abs_revision_w0_w4,months_revised,beneficial_revision_rate,harmful_revision_rate,weekly_rescue_rate,false_weekly_override_rate,first_correct_direction_stage_mean,months_never_correct_direction
IRON_ORE,MAXIMUM,M2,50,5.463641,3.588137,-1.875504,,3.418363,47,0.7021,0.2979,0.6,0.16,0.8,10
IRON_ORE,MAXIMUM,EVENT_INCREMENT_W0,50,5.459389,5.463641,0.004252,-0.0779,0.216186,50,0.4,0.6,,,,
IRON_ORE,MAXIMUM,EVENT_INCREMENT_W1,50,5.459389,5.463641,0.004252,-0.0779,0.216186,50,0.4,0.6,,,,
IRON_ORE,MAXIMUM,EVENT_INCREMENT_W2,50,4.002372,4.110105,0.107733,-2.6917,0.199495,50,0.52,0.48,,,,
IRON_ORE,MAXIMUM,EVENT_INCREMENT_W3,50,3.603265,3.721455,0.11819,-3.2801,0.183596,50,0.52,0.48,,,,
IRON_ORE,MAXIMUM,EVENT_INCREMENT_W4,50,3.496734,3.588137,0.091403,-2.6139,0.156808,50,0.52,0.48,,,,
SCRAP,MATCHED,M0,50,50.539865,26.335537,-24.204328,,35.094202,47,0.6809,0.3191,0.72,0.04,0.93,7
SCRAP,MATCHED,M1,50,49.449929,27.861529,-21.5884,,38.248265,47,0.6596,0.3404,0.7647,0.1212,0.63,4
SCRAP,MATCHED,M2,50,51.037073,26.625191,-24.411882,,39.638663,47,0.6809,0.3191,0.5263,0.129,0.561,9
SCRAP,MATCHED,EVENT_INCREMENT_W0,50,49.449929,51.037073,1.587144,-3.2096,12.024939,50,0.48,0.52,,,,
SCRAP,MATCHED,EVENT_INCREMENT_W1,50,49.449929,51.037073,1.587144,-3.2096,12.024939,50,0.48,0.52,,,,
SCRAP,MATCHED,EVENT_INCREMENT_W2,50,31.14533,30.095645,-1.049685,3.3703,8.206213,50,0.56,0.44,,,,
SCRAP,MATCHED,EVENT_INCREMENT_W3,50,27.462938,26.36055,-1.102387,4.0141,7.249353,50,0.56,0.44,,,,
SCRAP,MATCHED,EVENT_INCREMENT_W4,50,27.861529,26.625191,-1.236338,4.4374,7.240979,50,0.58,0.42,,,,
SCRAP,MAXIMUM,M0,50,45.575019,25.261346,-20.313673,,32.555559,47,0.6383,0.3617,0.65,0.0667,0.674,7
SCRAP,MAXIMUM,M1,50,49.240104,27.758573,-21.481531,,39.878314,47,0.6383,0.3617,0.6842,0.129,0.659,6
SCRAP,MAXIMUM,M2,50,50.305998,27.880303,-22.425695,,41.64304,47,0.6383,0.3617,0.6818,0.1786,0.791,7
SCRAP,MAXIMUM,EVENT_INCREMENT_W0,50,49.240104,50.305998,1.065894,-2.1647,4.977259,50,0.48,0.52,,,,
SCRAP,MAXIMUM,EVENT_INCREMENT_W1,50,49.240104,50.305998,1.065894,-2.1647,4.977259,50,0.48,0.52,,,,
SCRAP,MAXIMUM,EVENT_INCREMENT_W2,50,31.230705,31.933096,0.702391,-2.249,4.869354,50,0.5,0.5,,,,
SCRAP,MAXIMUM,EVENT_INCREMENT_W3,50,27.639134,27.795304,0.15617,-0.565,5.098108,50,0.54,0.46,,,,
SCRAP,MAXIMUM,EVENT_INCREMENT_W4,50,27.758573,27.880303,0.12173,-0.4385,5.063668,50,0.54,0.46,,,,
