target_id,history_mode,stage,model,n_months,mae,rmse,direction
IRON_ORE,MAXIMUM,W2,M0,50,3.903173,5.840868,0.76
IRON_ORE,MAXIMUM,W2,M1,50,4.002372,5.74887,0.7
IRON_ORE,MAXIMUM,W2,M2,50,4.110105,5.802298,0.7
IRON_ORE,MAXIMUM,W3,M0,50,3.699637,5.759258,0.74
IRON_ORE,MAXIMUM,W3,M1,50,3.603265,5.536455,0.72
IRON_ORE,MAXIMUM,W3,M2,50,3.721455,5.598414,0.72
IRON_ORE,MAXIMUM,W4,M0,50,3.592253,5.691004,0.74
IRON_ORE,MAXIMUM,W4,M1,50,3.496734,5.466284,0.72
IRON_ORE,MAXIMUM,W4,M2,50,3.588137,5.494529,0.72
SCRAP,MATCHED,W0,M0,50,50.539865,77.836036,0.5
SCRAP,MATCHED,W0,M1,50,49.449929,77.566566,0.66
SCRAP,MATCHED,W0,M2,50,51.037073,80.664746,0.62
SCRAP,MATCHED,W1,M0,50,50.539865,77.836036,0.5
SCRAP,MATCHED,W1,M1,50,49.449929,77.566566,0.66
SCRAP,MATCHED,W1,M2,50,51.037073,80.664746,0.62
SCRAP,MATCHED,W2,M0,50,31.890113,55.18217,0.76
SCRAP,MATCHED,W2,M1,50,31.14533,51.038231,0.82
SCRAP,MATCHED,W2,M2,50,30.095645,50.417424,0.72
SCRAP,MATCHED,W3,M0,50,26.289297,42.988526,0.84
SCRAP,MATCHED,W3,M1,50,27.462938,44.71992,0.86
SCRAP,MATCHED,W3,M2,50,26.36055,43.585983,0.76
SCRAP,MATCHED,W4,M0,50,26.335537,42.989945,0.84
SCRAP,MATCHED,W4,M1,50,27.861529,44.844702,0.84
SCRAP,MATCHED,W4,M2,50,26.625191,43.67229,0.74
SCRAP,MAXIMUM,W0,M0,50,45.575019,69.457546,0.6
SCRAP,MAXIMUM,W0,M1,50,49.240104,76.137878,0.62
SCRAP,MAXIMUM,W0,M2,50,50.305998,75.778981,0.56
SCRAP,MAXIMUM,W1,M0,50,45.575019,69.457546,0.6
SCRAP,MAXIMUM,W1,M1,50,49.240104,76.137878,0.62
SCRAP,MAXIMUM,W1,M2,50,50.305998,75.778981,0.56
SCRAP,MAXIMUM,W2,M0,50,30.48137,49.072536,0.76
SCRAP,MAXIMUM,W2,M1,50,31.230705,49.874484,0.76
SCRAP,MAXIMUM,W2,M2,50,31.933096,49.645488,0.7
SCRAP,MAXIMUM,W3,M0,50,25.099057,40.006679,0.82
SCRAP,MAXIMUM,W3,M1,50,27.639134,48.89433,0.8
SCRAP,MAXIMUM,W3,M2,50,27.795304,48.497309,0.76
SCRAP,MAXIMUM,W4,M0,50,25.261346,40.035893,0.82
SCRAP,MAXIMUM,W4,M1,50,27.758573,48.90995,0.8
SCRAP,MAXIMUM,W4,M2,50,27.880303,48.51429,0.76
