month,PEP,NEP,active_event_count,event_ids
2013-01,0.0,0.0,0,
2013-02,0.0,0.0,0,
2013-03,0.0,0.0,0,
2013-04,0.0,0.0,0,
2013-05,0.0,0.0,0,
2013-06,0.0,0.0,0,
2013-07,0.0,0.0,0,
2013-08,0.0,0.0,0,
2013-09,0.0,0.0,0,
2013-10,0.0,0.0,0,
2013-11,0.0,0.0,0,
2013-12,0.0,0.0,0,
2014-01,0.0,0.0,0,
2014-02,0.0,0.0,0,
2014-03,0.0,0.0,0,
2014-04,0.0,0.0,0,
2014-05,0.0,0.0,0,
2014-06,0.0,0.0,0,
2014-07,0.0,0.0,0,
2014-08,0.0,0.0,0,
2014-09,0.0,0.0,0,
2014-10,0.0,0.0,0,
2014-11,0.0,0.0,0,
2014-12,0.0,0.0,0,
2015-01,0.0,0.0,0,
2015-02,0.0,0.0,0,
2015-03,0.0,0.0,0,
2015-04,0.0,0.0,0,
2015-05,0.0,0.0,0,
2015-06,0.0,0.0,0,
2015-07,0.0,0.0,0,
2015-08,0.0,0.0,0,
2015-09,0.0,0.0,0,
2015-10,0.0,0.0,0,
2015-11,0.0,0.0,0,
2015-12,0.0,0.0,0,
2016-01,0.0,0.0,0,
2016-02,0.0,0.0,0,
2016-03,0.0,0.0,0,
2016-04,0.0,0.0,0,
2016-05,0.0,0.0,0,
2016-06,0.0,0.0,0,
2016-07,0.0,0.0,0,
2016-08,0.055556,0.0,1,AD_CVD_COLD_ROLLED_JP_CN_2016
2016-09,0.055556,0.0,1,AD_CVD_COLD_ROLLED_JP_CN_2016
2016-10,0.055556,0.0,2,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016
2016-11,0.055556,0.0,2,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016
2016-12,0.055556,0.0,2,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016
2017-01,0.055556,0.0,2,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016
2017-02,0.055556,0.0,2,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016
2017-03,0.055556,0.0,2,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016
2017-04,0.055556,0.0,2,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016
2017-05,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2017-06,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2017-07,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2017-08,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2017-09,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2017-10,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2017-11,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2017-12,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2018-01,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2018-02,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2018-03,0.055556,0.0,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017
2018-04,0.111111,0.055556,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_INVESTIGATION_2017|S232_STEEL_TARIFF_2018
2018-05,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2018-06,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2018-07,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2018-08,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2018-09,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2018-10,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2018-11,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2018-12,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-01,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-02,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-03,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-04,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-05,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-06,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-07,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-08,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-09,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-10,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-11,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2019-12,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2020-01,0.111111,0.055556,3,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018
2020-02,0.111111,0.055556,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|S232_DERIVATIVES_2020
2020-03,0.111111,0.055556,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|S232_DERIVATIVES_2020
2020-04,0.222222,0.166667,5,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|S232_DERIVATIVES_2020|COVID_NATIONAL_EMERGENCY_2020
2020-05,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2020-06,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2020-07,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2020-08,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2020-09,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2020-10,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2020-11,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2020-12,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-01,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-02,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-03,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
2021-04,0.222222,0.166667,4,AD_CVD_COLD_ROLLED_JP_CN_2016|AD_CVD_COLD_ROLLED_MULTI_2016|S232_STEEL_TARIFF_2018|COVID_NATIONAL_EMERGENCY_2020
