view,model,n_origins,mae,rmse,smape,directional_accuracy,status
VIEW_A_OFFICIAL,N0,50,50.31882,69.396581,8.05293,0.0,OFFICIAL_PREREGISTERED
VIEW_A_OFFICIAL,M0,50,49.189718,76.199841,8.092307,0.54,OFFICIAL_PREREGISTERED
VIEW_A_OFFICIAL,M1,50,50.748848,80.774459,8.276535,0.6,OFFICIAL_PREREGISTERED
VIEW_B_HISTORICAL_DEMO,M2_V2,50,50.717427,80.642216,8.26859,0.6,EXPLORATORY
VIEW_B_HISTORICAL_DEMO,M2_V3,50,51.613396,81.491205,8.441541,0.58,EXPLORATORY
VIEW_C_SHARED_ALPHA,M1_shared,50,50.748848,80.774459,8.276535,0.6,EXPLORATORY
VIEW_C_SHARED_ALPHA,M2_shared,50,50.897617,81.08709,8.299076,0.6,EXPLORATORY
VIEW_D_MAIN_V4,M0,50,49.189718,76.199841,8.092307,0.54,EXPLORATORY
VIEW_D_MAIN_V4,M1R,50,60.989851,84.052789,10.150386,0.5,EXPLORATORY
VIEW_D_MAIN_V4,M2R,50,67.400211,96.287425,11.283869,0.54,EXPLORATORY
